Minisector,SAI,LEC,Fastest
0,298.76151966535946,321.8195388016133,LEC
1,231.61889179963242,221.72922465190084,SAI
2,132.47858844578113,133.69624667870195,LEC
3,216.1162971059649,217.58476807064935,LEC
4,260.4172662716792,262.5077793643932,LEC
5,285.7643292793651,292.754895056201,LEC
6,298.48905187321515,311.85152721272726,LEC
7,274.47187038419753,271.8295072016931,SAI
8,169.92221360693236,161.77081539819795,SAI
9,238.89091544177776,238.64852592429835,SAI
10,270.9900145954294,273.3450472358399,LEC
11,262.0746925108846,252.5161198240363,SAI
12,205.2775734100585,192.99130903096165,SAI
13,121.70266545524001,112.30860713329949,SAI
14,123.72804445924206,120.17624303752177,SAI
15,156.17963484075537,145.77470383612254,SAI
16,121.79280532509938,133.83842966870262,LEC
17,234.20951905352507,235.91812450913955,LEC
18,170.0728456295596,167.01589051028813,SAI
19,160.95350315567597,168.68883699739885,LEC
20,242.1667422071178,246.7744899998938,LEC
21,270.82825754385965,276.53373924726156,LEC
22,288.95900619871753,299.3855938040673,LEC
23,298.24982133714286,316.31056559999996,LEC
24,303.83835964444444,326.63845682315593,LEC
