Minisector,VER,MAG,Fastest
0,274.20942742031747,271.51904759480516,VER
1,291.6349362634548,292.27305886489967,MAG
2,290.4197752550265,292.84906415788356,MAG
3,174.82657169046877,169.10362532010026,VER
4,115.67780076354808,115.30862717330842,VER
5,234.01368529305728,234.5335631292657,MAG
6,277.177780565047,276.4497886805115,VER
7,290.65577199108543,289.37334882724457,VER
8,171.63267943804058,178.93318545124717,MAG
9,137.40206362400005,133.86570777617,VER
10,245.8266041478116,246.64168772253956,MAG
11,285.6320812095425,284.2746920003778,VER
12,293.629153739538,293.54849538180724,VER
13,265.73650853925926,270.68628730039444,MAG
14,291.3166600840377,288.9703319408615,VER
15,292.4179270990099,292.09112233431597,VER
16,237.60381166897477,242.74383018614523,MAG
17,213.19115006795556,213.48103046922637,MAG
18,272.95988069721636,269.394130986389,VER
19,296.9410717954499,291.7352369505303,VER
20,304.67406141903484,297.91931493459265,VER
21,217.5520661134109,232.725873769395,MAG
22,251.3158061107408,253.96087477598343,MAG
23,136.68148392941066,141.90503352117008,MAG
24,211.9542975763645,198.81657224073263,VER
25,253.22000128,254.39305493333336,MAG
