Minisector,STR,TSU,Fastest
0,276.24189986938774,275.7223897229659,STR
1,298.5210548733654,295.268333312,STR
2,289.9912143908571,291.81243750621115,TSU
3,177.51160070889938,180.50117688761904,TSU
4,116.44285279941083,118.49624290303089,TSU
5,236.01694314666665,235.3033756078241,STR
6,283.0934466472836,279.26242082257977,STR
7,292.23516727466665,290.26162214579716,STR
8,170.24996966129294,185.40796339846042,TSU
9,139.2918467285838,142.34891060430672,TSU
10,251.0002765511111,250.6158632688151,STR
11,291.5272700639169,288.0888146120387,STR
12,302.4969205333333,295.18482156190476,STR
13,272.9121452882649,277.51388890864195,TSU
14,292.75992826514283,293.3192190118138,TSU
15,299.12453514115873,296.18452401980954,STR
16,244.39942592507936,252.691819100363,TSU
17,213.86776025831762,222.18467736802012,TSU
18,275.71616605866666,273.60696636613756,STR
19,298.7979962001941,294.91398227064667,STR
20,297.01602466172847,294.9350647279012,STR
21,224.50616860958638,232.77538138257714,TSU
22,250.9647125310094,254.40076942031482,TSU
23,135.1847779710789,140.19684960104865,TSU
24,213.23183588289638,212.8390032612924,STR
25,,257.0375008,TSU
