Minisector,VER,HUL,Fastest
0,97.85001659064083,134.88674235479365,HUL
1,124.90601232253968,175.51370443851852,HUL
2,197.47752366222224,226.41893974564695,HUL
3,238.4825524,255.23645871111114,HUL
4,259.0355264,279.025439251462,HUL
5,259.21194389333334,299.6964708894117,HUL
6,164.95980760615384,311.7968379952569,HUL
7,116.45254065987803,314.1395834666667,HUL
8,138.96811259863946,325.48066679466666,HUL
9,199.65245577142858,328.61458355555555,HUL
10,216.097510532119,330.4447104615384,HUL
11,247.17458378666666,231.09808449523808,VER
12,274.98502383940297,123.27396485213033,VER
13,292.1611112296296,96.43156258496072,VER
14,298.88916672,164.00252501018065,VER
15,284.6603374676692,229.10552872457143,VER
16,260.50985238588237,254.71958387809522,VER
17,206.59860873485954,261.2397362863158,HUL
18,217.32258175911224,201.36597071111112,VER
19,178.64654146077922,132.4191896948718,VER
20,136.84868817777777,122.98015593380501,VER
21,153.72195392688172,163.25396893121692,HUL
22,198.44491159893332,206.44500096000002,HUL
23,226.21052631578948,243.50891355826087,HUL
24,148.72161336666667,270.9388404535077,HUL
25,,282.1163163621053,HUL
26,,300.7038889244444,HUL
27,,301.7614368627451,HUL
