Minisector,BEA,HAD,Fastest
0,324.3512756825397,329.9223295608391,HAD
1,225.875805985974,269.3928677236428,HAD
2,130.0266966138273,130.2882531832612,HAD
3,216.70515164223605,211.48608946405702,BEA
4,261.1423311632567,261.9884124451243,HAD
5,288.6562663335845,286.3573529411765,BEA
6,304.52343175887955,295.16980392784313,BEA
7,268.4690041596761,274.52570461658803,HAD
8,174.08035633085197,169.27684339907836,BEA
9,242.1722357664413,237.60275316772035,BEA
10,273.90042713766235,270.49087962962966,BEA
11,269.0597646608354,260.692796901731,BEA
12,203.22678340902692,203.58027207572874,HAD
13,120.94504767352304,127.75688173353399,HAD
14,121.58902564955211,119.03996079888128,BEA
15,163.35725282907498,164.36845216188945,HAD
16,122.00247756188914,117.26586143500397,BEA
17,230.3563834115389,225.01348817523808,BEA
18,178.8466630247619,202.63331614359646,HAD
19,159.36430274553044,145.81165634217055,BEA
20,244.84204884723246,240.68556584465608,BEA
21,275.83330992887335,270.74042027346263,BEA
22,295.13450609333336,289.26727272727277,BEA
23,313.5616426109904,301.2467911424245,BEA
24,323.8158097188571,307.8926786514286,BEA
25,,308.3708330666667,HAD
