Minisector,STR,TSU,Fastest
0,284.5735228014629,287.77412266666664,TSU
1,290.29798302645503,294.47543848421054,TSU
2,167.145490332754,163.42377418039214,STR
3,216.10799863466664,217.43884917414553,TSU
4,268.88104074666666,270.23452413968255,TSU
5,289.35835021071057,291.283333145098,TSU
6,293.27816441102755,298.04304467496087,TSU
7,180.06276532299879,175.80328379061206,STR
8,119.66722487394357,118.25449108843748,STR
9,246.62427018719768,245.1386277932976,STR
10,280.9962713263158,285.205184044883,TSU
11,288.71574080000005,302.127632,TSU
12,148.59322202953436,142.33088776979602,STR
13,186.5959810151709,185.73524589931975,STR
14,244.77413823883256,256.51861398329254,TSU
15,208.71005186813187,206.20401157530864,STR
16,205.5969646036521,202.05265806301597,STR
17,211.12296300659338,204.95110801867315,STR
18,238.98644597857444,239.06893395011338,TSU
19,271.64431783051236,275.0146823933411,TSU
20,289.5773178867168,295.212955222409,TSU
21,257.9318016966014,256.19734913939396,STR
22,213.58942466227106,214.06047725989143,TSU
23,194.05610918076567,199.37451934358975,TSU
24,258.0022383537998,262.8503764415678,TSU
