Minisector,VET,RIC,Fastest
0,276.2537085399324,266.662194076822,VET
1,294.80658435534974,284.44008474009144,VET
2,300.62896361059313,290.8272654565375,VET
3,133.24351528974472,136.58839914829437,RIC
4,198.5633762311766,195.52359869671483,VET
5,263.19203767600266,255.0476464665756,VET
6,143.46360931992947,148.15123654006732,RIC
7,209.73292160269392,204.78798804162872,VET
8,265.8100683637724,254.68847674464575,VET
9,284.9473814136178,277.72121389086305,VET
10,241.8411497892633,246.24313012098713,RIC
11,183.665357923579,187.17079810125313,RIC
12,192.45105927723824,191.84096184378174,VET
13,145.91956346712004,153.11344127051393,RIC
14,176.59028013336248,173.20945197543352,VET
15,161.69230271274958,160.82293798593184,VET
16,218.00444311267276,212.77329730909094,VET
17,236.82664662961696,234.8933482283051,VET
18,239.82633795342562,238.6496399422952,VET
19,249.4122396102248,250.37280729879262,RIC
20,142.34309587290016,144.59010560900006,RIC
21,139.06647638737095,143.8871169308857,RIC
22,168.86321195570684,167.41253208235324,VET
23,151.02930861308178,152.41350099552935,RIC
24,232.822280406797,223.25868614123775,VET
25,262.32142628571427,254.95833066666665,VET
