Minisector,PER,OCO,Fastest
0,250.63803089972313,253.2166716757366,OCO
1,128.70575894398368,129.7377050727312,OCO
2,257.54031985401554,259.44040971027135,OCO
3,297.80522379792586,306.86963050779906,OCO
4,295.85741710512474,306.0090037501133,OCO
5,304.7141858105983,313.4219907621399,OCO
6,310.01573959969863,318.7773931350427,OCO
7,310.2651707821906,314.50529098783124,OCO
8,188.48116602081768,195.24520059298473,OCO
9,192.31042137657306,188.8180243505964,PER
10,187.45751190266375,186.70741862689377,PER
11,169.1812352451723,168.66217042031866,PER
12,249.30527602333666,251.21357393827608,OCO
13,270.2669237794264,263.7763692771157,PER
14,272.1485861237732,272.08911282941284,PER
15,271.610202799093,268.43122755583266,PER
16,180.50124567609686,176.1688965125513,PER
17,177.98300647786624,183.7475299482995,OCO
18,231.9004931276551,227.43127289583816,PER
19,283.9648265358824,281.94649519644446,PER
20,305.90274386879406,308.1100406145067,OCO
21,313.87750630468133,317.5578696661654,OCO
22,315.06290749655676,315.45847151301956,OCO
23,258.75953294863103,225.3040503336941,PER
24,113.78669154201681,114.91840912077384,OCO
