Minisector,VET,RAI,Fastest
0,311.08023084058203,310.4549879630871,VET
1,328.15225534292694,329.70736184597007,RAI
2,314.35888145074455,304.6218877633773,VET
3,115.85901643251839,110.55295672080038,VET
4,224.867078020843,224.48810461851264,VET
5,264.8164222949904,273.61243899093654,RAI
6,209.77755784344285,213.55257342913657,RAI
7,160.4047903747009,163.6100561852403,RAI
8,194.90154923029246,193.83545931953154,VET
9,213.55698073079736,210.7129326299442,VET
10,114.55979080411464,113.8179434608263,VET
11,230.8547290256728,228.44175552713492,VET
12,117.73671009229297,117.68873545503041,VET
13,225.8143904460047,229.66816457181724,RAI
14,272.4610729195065,283.42205704781276,RAI
15,213.95964741652693,206.49741998755533,VET
16,201.4877332231974,194.40885241007234,VET
17,251.46840598566794,254.34099885189724,RAI
18,200.72484172846077,193.32968954275523,VET
19,187.16208291868244,182.0089864195734,VET
20,271.53240411775124,269.8991654102331,VET
21,293.0713487591661,295.05931664085244,RAI
22,167.90265591624095,156.8958841133936,VET
23,210.56690167473383,213.64750092200205,RAI
24,275.2981618305999,280.0397088137362,RAI
