Minisector,PER,RIC,Fastest
0,262.70434319548997,272.5669043279438,RIC
1,293.1993788150591,296.98194474666667,RIC
2,309.98395783829596,310.6088891022222,RIC
3,321.55972246349205,319.9089286857143,PER
4,328.6579298240325,325.8061111466667,PER
5,332.4982144,329.510336574359,PER
6,285.441403,218.1224667483404,PER
7,111.84837658740588,108.5104027603513,PER
8,146.81252184395342,188.23162218435323,RIC
9,249.4888904888889,262.5397062901961,RIC
10,286.27591205,293.38586373614015,RIC
11,242.53166933024963,183.25507297330395,PER
12,91.95371276103796,98.892387226279,RIC
13,110.65617607667214,115.14981074686717,RIC
14,214.08646738912543,226.31837913365013,RIC
15,185.39772434330544,187.24733239466667,RIC
16,219.66374954666668,223.3197418031746,RIC
17,190.80363087573224,179.93349875200002,PER
18,219.87498395961694,236.49541541333332,RIC
19,272.84090785688346,278.4956957266014,RIC
20,290.30501697451865,270.27584283249297,PER
21,154.4662501688889,151.9326984990476,PER
22,101.33954625582388,98.41611628088519,PER
23,121.72132346311109,126.59893820826333,RIC
24,200.4905779146998,219.32395260368617,RIC
25,242.56250133333333,255.74444373333336,RIC
