Minisector,GRO,GAS,Fastest
0,261.9539306359888,260.6293049955556,GRO
1,132.65159224241776,133.4749431479232,GAS
2,265.1592559644252,263.759756291047,GRO
3,303.349626080829,300.7727926031746,GRO
4,301.0903808914286,296.1172009777655,GRO
5,307.87033343999997,304.641333248,GRO
6,314.1641369904762,309.5194443111111,GRO
7,316.57135413333333,310.2409144888889,GRO
8,207.50485923809524,198.60996207866995,GRO
9,201.36286077593985,201.5733432712227,GAS
10,182.99221956650337,174.92806528509206,GRO
11,162.23337852258663,174.7986294372745,GAS
12,251.65827433142857,257.3786732873563,GAS
13,282.1782861644841,274.4831846095238,GRO
14,281.96786753124235,277.22853674016613,GRO
15,281.0123935836735,265.88170228415294,GRO
16,186.35405242215268,187.1845395089411,GAS
17,193.749010769869,191.04401228044935,GRO
18,238.26641635883257,243.52787568076008,GAS
19,286.17505112757203,286.64400173479856,GAS
20,307.60258088384927,304.9442490498317,GRO
21,314.09319798410934,310.9481398476191,GRO
22,314.25844220491865,309.62266666666665,GRO
23,253.32818547914613,225.3138970217046,GRO
24,114.82610789805551,118.10834339951575,GAS
