Minisector,RUS,NOR,Fastest
0,262.4746194339182,269.0052538474163,NOR
1,279.5143865464627,290.34576362666667,NOR
2,278.5152855833333,296.568245252845,NOR
3,122.75758122952438,124.89338688779196,NOR
4,192.4197244027171,191.33842751598092,RUS
5,253.99949047536438,252.2104095190807,RUS
6,141.72616623195398,134.981847836193,RUS
7,197.0156904958153,194.75631115200002,RUS
8,249.8748250122449,254.4230847315825,NOR
9,272.55085942457663,274.19721146907494,NOR
10,229.8304099435168,229.61796077333335,RUS
11,177.72469611755102,182.4559416758502,NOR
12,181.39317327295075,184.68774931820604,NOR
13,142.79811514074075,142.34674066588462,RUS
14,165.3248419768889,162.67862729726525,RUS
15,155.9978995232653,150.92568586672928,RUS
16,204.89834059393937,206.67321208357404,NOR
17,226.68556126811893,230.25028933355523,NOR
18,230.72211886657598,229.33082578498468,RUS
19,239.24299998933142,253.1811074673716,NOR
20,144.89533033476644,140.97746965186903,RUS
21,130.91435473660619,133.3381592687643,NOR
22,161.64735927211754,160.44644385086758,RUS
23,150.21812957985185,148.1460941585166,RUS
24,225.9922239423045,219.3908261039788,RUS
25,249.08181643636362,,RUS
