Minisector,HAM,GAS,Fastest
0,288.71410527556327,277.04848555499933,HAM
1,306.72585375682087,295.8718576635638,HAM
2,280.64413037905734,276.19967778411575,HAM
3,176.68641736375005,164.1357018444629,HAM
4,116.53271243720155,111.87574530249158,HAM
5,236.4076619861336,236.38734781084065,HAM
6,297.7862333899473,288.08672611301824,HAM
7,309.2454801195959,292.20975668420385,HAM
8,166.14552002301684,168.05532130085226,GAS
9,137.32006460906086,131.2995706491505,HAM
10,251.62079445056312,244.584767323623,HAM
11,290.12497498169466,293.57373564561544,GAS
12,294.7670213458643,298.01043976093246,GAS
13,271.65309410890046,262.18454520108094,HAM
14,286.23803031757575,284.61885648761904,HAM
15,278.2456551420583,281.4277041345017,GAS
16,239.56894006440797,241.08564208536052,GAS
17,221.90941196048547,209.62442664527111,HAM
18,274.3643791258321,275.73155775219635,GAS
19,299.33437541149635,299.65374149175733,GAS
20,307.00231670022674,300.95826301848734,HAM
21,219.4931019683975,214.65772573600438,HAM
22,243.03984935114408,234.14602056491356,HAM
23,134.26614704486173,135.0764906064641,GAS
24,202.3629747661439,201.18604942296994,HAM
25,254.6750016,,HAM
