Minisector,RUS,LAW,Fastest
0,290.0980101213033,288.6241506865359,RUS
1,298.598423032381,294.34830507774893,RUS
2,162.68817001018962,153.17403577998093,RUS
3,221.43081765003177,220.85106472568665,RUS
4,273.3467633351111,268.19302005491653,RUS
5,293.6497708820915,289.4980530800907,RUS
6,303.93761554225955,300.31959827918365,RUS
7,176.11480982058336,161.61665164369333,RUS
8,132.41671904963778,137.491422633746,LAW
9,251.42815429818182,251.04292353886623,RUS
10,285.41531201600003,283.8396792670322,RUS
11,293.3050320097959,288.21515258753493,RUS
12,137.61528524796964,134.42028472872195,RUS
13,196.39473028955106,202.8921910962514,LAW
14,257.4719637622857,256.166358901326,RUS
15,194.32061890302714,190.38665575800397,RUS
16,219.16386588433207,214.6418147778355,RUS
17,208.602808745679,209.3774171325013,LAW
18,241.2745296013877,244.611025826522,LAW
19,273.72134330039216,275.1161581727273,LAW
20,291.341975826704,291.08122557699346,RUS
21,260.89736296755905,254.96044066730462,RUS
22,212.52603309638724,212.05911791897154,RUS
23,195.59685884639805,200.47127674268458,LAW
24,263.36015766603174,262.2984292559477,RUS
