Minisector,RIC,PER,Fastest
0,302.6686364992577,304.4073270843296,PER
1,320.1134938146058,324.2342794855666,PER
2,329.7572157997733,334.3386044033229,PER
3,322.0835189572623,332.82603174603173,PER
4,175.45504671930433,170.6745408218761,RIC
5,220.0443367585188,200.41471329683753,RIC
6,250.58002109133344,233.0379644197095,RIC
7,267.0046328124728,262.72304699753033,RIC
8,271.2078949614035,267.76005683885785,RIC
9,175.91291297910124,161.46133335239952,RIC
10,231.5143546158168,227.66843357045323,RIC
11,145.10577111385237,136.7711885731218,RIC
12,221.38787618179856,214.97883823640993,RIC
13,208.1258612732827,194.76912158887185,RIC
14,212.99113378542094,207.67188500871424,RIC
15,252.67479157333332,238.6595570293689,RIC
16,262.68699929541015,249.84777562120865,RIC
17,282.2705697857399,282.00744271243434,RIC
18,146.98252467609,143.24563069571545,RIC
19,160.62589126869406,161.40276341165398,PER
20,152.3419120371141,143.2756920986209,RIC
21,175.05137196400142,157.33117352144393,RIC
22,124.4786650665314,120.38734057713,RIC
23,224.04416336746428,224.86744943889133,PER
24,267.2477964434484,269.1458066567117,PER
