Minisector,LEC,NOR,Fastest
0,257.90311271217564,264.980157566377,NOR
1,135.16136850631685,133.74843026892114,LEC
2,263.8040040420752,270.35122520674497,NOR
3,309.0362032370068,316.01800403666164,NOR
4,308.9533803279412,315.65302576203175,NOR
5,317.6966689846154,327.5731085274622,NOR
6,322.2766262537374,333.2847655012121,NOR
7,318.2379869845182,339.62208315944133,NOR
8,201.11357603335333,198.72070451595656,LEC
9,203.92878291809524,200.4999904515329,LEC
10,179.43022387906075,181.68023755125486,NOR
11,170.58906959502238,170.59849405910668,NOR
12,258.102719400892,258.74094964900553,NOR
13,279.5001157176157,279.4808804138146,LEC
14,283.8066470554215,287.97653572613126,NOR
15,276.3309436737566,274.5457460938272,LEC
16,176.30680512707391,177.88523425346332,NOR
17,192.82183977815933,200.43709335808612,NOR
18,246.9101717896517,249.86470007119303,NOR
19,288.32689999999997,292.26145756025835,NOR
20,306.2500537590528,313.2923340794876,NOR
21,313.50214285714287,319.9026761982289,NOR
22,311.2129070491488,317.29422100811234,NOR
23,258.6432041544111,249.26982839842145,LEC
24,121.5932329648616,119.52529951193611,LEC
25,,235.86666666666667,NOR
