Minisector,VER,ANT,Fastest
0,323.44350764295353,305.5904745354184,VER
1,246.67733135746033,236.55228119203716,VER
2,124.18738121442819,132.14717534515006,ANT
3,240.93798409384732,236.29763807898567,VER
4,191.70348269796696,196.49424618691756,ANT
5,251.27695862289175,247.84841368611924,VER
6,235.8704512191062,227.49130032500446,VER
7,256.9349283752248,259.261642438585,ANT
8,291.3423724711111,293.36808970035935,ANT
9,214.37520010950516,209.74958164708664,VER
10,192.7272087123707,204.38633052476192,ANT
11,272.350345038002,272.5461576256277,ANT
12,226.32795559461528,212.43419986721992,VER
13,249.02141147878788,253.03206925910698,ANT
14,292.77215429075346,293.8048555752381,ANT
15,309.8318920725265,308.6951186905641,VER
16,309.07043630629863,306.75766333217393,VER
17,213.23095734377173,206.24346433206972,VER
18,255.51693974641537,265.6963716513968,ANT
19,295.4484487256219,297.28443802265605,ANT
20,311.1933537202336,311.8029232555783,ANT
21,308.31624662643276,311.3959463204551,ANT
22,157.013046268743,149.74267682733935,VER
23,226.30748340323203,239.38816599373547,ANT
24,286.6940209798758,287.79178838035847,ANT
25,301.9312496,,VER
