Minisector,ALB,NOR,Fastest
0,320.1284231556663,322.4640592253968,NOR
1,326.99953507032444,329.72337973333333,NOR
2,322.0502383009524,328.9749998814815,NOR
3,170.17899558204834,170.72239925571935,NOR
4,134.6152659546547,135.72807055012345,NOR
5,268.7600492503556,271.3157817909307,NOR
6,301.1035374017403,301.9206181869151,NOR
7,309.075,307.3125,ALB
8,257.9682619977143,263.7327395840364,NOR
9,156.02973076178915,150.0765374980516,ALB
10,223.63664108140162,216.05379551678266,ALB
11,224.87709736780045,223.625397621164,ALB
12,201.2332607172414,195.31417060981937,ALB
13,274.75659693333336,275.8976448253968,NOR
14,307.8419640380952,309.9614884114286,NOR
15,316.9823107714873,316.604144626455,ALB
16,263.5294359384681,244.9482578754579,ALB
17,217.14940155246006,215.84531192564907,ALB
18,277.17130374801644,282.2804661748918,NOR
19,309.8336618825924,312.69690512,NOR
20,321.98552639999997,323.52935462656643,NOR
21,298.3909121499321,289.71229942857144,ALB
22,212.7322658662288,206.1299732177716,ALB
23,271.32151355577463,274.1630440347826,NOR
24,305.0961452553288,308.9732203246832,NOR
