Minisector,VER,HAD,Fastest
0,285.9995265151515,276.3257936507936,VER
1,114.17898827363113,119.62689247689246,HAD
2,164.31739417989417,148.6529428904429,VER
3,203.10720126434413,206.69969696969696,HAD
4,167.05876668585185,165.43798076923076,VER
5,239.9358134920635,239.28645181978516,VER
6,194.02457189625656,209.89358148418705,HAD
7,133.90948491612554,131.61589002267573,VER
8,241.23694971997776,237.51319685436783,VER
9,286.86288515406164,283.18515625,VER
10,283.51666666666665,284.7760461760462,HAD
11,153.84111360310493,155.56051590533855,HAD
12,221.31785047644559,218.67619047619047,VER
13,278.7860812609676,275.39070751630004,VER
14,255.34872534872537,261.7139880952381,HAD
15,102.934542764235,103.22392033577347,HAD
16,226.45065789473685,220.81677837973277,VER
17,292.72052789752166,284.9173207006536,VER
18,324.34508928571427,312.5075066137566,VER
19,336.3285714285715,320.0059523809524,VER
20,331.5007727953945,314.12544512434715,VER
21,285.3860294117647,298.7002291825821,HAD
22,154.8015757136289,161.0297669339698,HAD
23,241.71994682016185,230.168074800559,VER
24,270.59127976190473,280.0851587301587,HAD
25,,286.0,HAD
