Minisector,HUL,LEC,Fastest
0,297.3313663469979,299.4654759111111,LEC
1,243.30748314224755,245.42929356567743,LEC
2,203.0883333688889,197.86962644522586,HUL
3,265.47927476892016,264.30304739365295,HUL
4,232.75862025255734,224.2174121142857,HUL
5,115.79790906032095,120.16183130697344,LEC
6,180.50551513725492,173.76725917761462,HUL
7,255.56435636877382,255.885999232,LEC
8,285.5791668848485,288.3343909850431,LEC
9,299.76854650715666,303.03791648000004,LEC
10,305.6453794247619,309.3912697904762,LEC
11,216.08413350703984,217.44023282758621,LEC
12,149.58038424562534,145.2886766847715,HUL
13,258.3289163539259,256.2897560761905,HUL
14,288.12757955192745,288.9946251405696,LEC
15,297.81301940386464,299.53409083982683,LEC
16,294.31818858904853,298.15797616,LEC
17,258.90675250581876,256.0505219111111,HUL
18,183.2269305379685,177.22068516658777,HUL
19,186.00314127642054,180.96682987375985,HUL
20,181.22562587799766,185.4934473454623,LEC
21,244.98796021327374,246.91866624609523,LEC
22,125.07638399194697,124.42325280655932,HUL
23,198.0463111009524,202.3406011163624,LEC
24,274.6028616460261,276.98542956190477,LEC
