Minisector,NOR,MAG,Fastest
0,310.83936685507626,293.588234896478,NOR
1,231.92588043326984,230.59287702857142,NOR
2,125.85373560166941,129.24505104159363,MAG
3,231.09735853559238,237.277956289161,MAG
4,190.95921449675407,188.62771024804232,NOR
5,240.65438880687313,244.37953774598796,MAG
6,226.3796831721495,232.76974480346155,MAG
7,252.46676853018064,249.5538020305991,NOR
8,278.28429404222226,282.86329353540765,MAG
9,218.10041908398267,214.37904182980083,NOR
10,200.8853552110053,200.11186793589266,NOR
11,269.4616176944485,267.3227892484354,NOR
12,205.35472382894753,212.22558000634325,MAG
13,240.60601899353284,239.64452076505745,NOR
14,288.2119452908975,285.5379681305028,NOR
15,308.8303024272682,301.2155289184416,NOR
16,308.44396964643994,300.51350952546585,NOR
17,224.42087150040152,237.73009322256365,MAG
18,264.1857924865682,262.4583616443461,NOR
19,297.37267568482923,291.27559646064583,NOR
20,316.55693864031707,304.9104352969697,NOR
21,315.9205152734199,303.84913545176806,NOR
22,141.29961440774397,161.32067555345358,MAG
23,233.0792730820063,223.9450728345576,NOR
24,290.5196357857833,278.6369545727839,NOR
25,303.17000064,288.3144043535578,NOR
