Minisector,ANT,HAD,Fastest
0,309.41602025396827,297.79263271771094,ANT
1,160.39678572239492,160.36217993343635,ANT
2,153.0390170635358,161.58417593044987,HAD
3,237.14775486224485,225.94735323694363,ANT
4,290.6510734172135,285.81825390732695,ANT
5,283.3620522888808,296.61511375254366,HAD
6,145.71010102713956,148.51068744268898,HAD
7,152.18749860827216,133.51286616568098,ANT
8,137.59636338959905,142.26734672020436,HAD
9,199.1647418084764,177.49435262642453,ANT
10,126.29951629669648,136.29581850142208,HAD
11,126.7899132641638,133.21500795673208,HAD
12,172.10723630756968,156.14772818485486,ANT
13,271.05879799180434,264.506789338068,ANT
14,296.61144386253534,292.42195097278045,ANT
15,144.80223101355196,149.83353144669297,HAD
16,208.72405108718277,215.7567736658364,HAD
17,176.512212215522,168.08978726717842,ANT
18,271.97601164765734,267.51333997161265,ANT
19,297.4444284901194,294.78774993669566,ANT
20,311.67786130856655,308.99939782930545,ANT
21,321.55629748338083,317.81067291013744,ANT
22,326.1721522336258,321.77857015462774,ANT
23,330.0993252286967,325.5930133828571,ANT
24,329.56747878341014,322.5338099325079,ANT
25,,316.73779644399315,HAD
