Minisector,LEC,ALB,Fastest
0,324.0299603809524,320.1284231556663,LEC
1,331.98161240684544,326.89473500697403,LEC
2,331.5491227508772,321.8945490606516,LEC
3,174.86743512595456,167.70060096146813,LEC
4,133.56381961010473,135.94743108998776,ALB
5,273.11866254760014,268.7600492503556,LEC
6,305.60666337952034,301.1035374017403,LEC
7,317.9818750933333,309.075,LEC
8,261.7862830052833,257.9682619977143,LEC
9,155.19614647999998,156.02973076178915,ALB
10,221.1912122820781,222.35267934482093,ALB
11,229.84547634402244,226.2545560681952,LEC
12,199.18307398889593,204.3776201204301,ALB
13,279.30893783188407,277.00984833939395,LEC
14,313.31337734736843,307.8419640380952,LEC
15,326.2246173536868,316.7803296676719,LEC
16,249.94733201066666,252.37266509402366,ALB
17,213.453779566808,221.96247609039108,ALB
18,278.4569810562771,280.7155724598268,ALB
19,313.2556231763636,310.73842378735435,LEC
20,328.3002844723239,322.24868429473685,LEC
21,297.49345127619046,290.1326132340261,LEC
22,210.00829191254215,213.4375848471655,ALB
23,274.48162923636363,273.3334700079485,LEC
24,309.99288229469477,305.7009525180953,LEC
