Minisector,NOR,STR,Fastest
0,270.92827709283836,268.47393649284857,NOR
1,287.25049071407403,287.7305636097965,STR
2,292.6454845098136,295.8779144008556,STR
3,127.80736396100038,132.0718652238234,STR
4,193.0471364116511,190.1361980969095,NOR
5,253.23727930145904,254.9994392205752,STR
6,142.48028916204737,142.56859696615402,STR
7,209.16057859726206,205.23830518383272,NOR
8,256.40782508382875,256.15592714666667,NOR
9,277.0347338487395,280.1662031558897,STR
10,245.11663545112782,237.4804988121212,NOR
11,183.84484303941392,180.69846840734436,NOR
12,195.22843165038137,186.6319114590941,NOR
13,145.36674521751337,137.11226544155937,NOR
14,179.25059218351254,176.91660983572018,NOR
15,160.7272364710787,162.0017136922124,STR
16,220.92601296888887,218.39513965007592,NOR
17,240.60129209561833,238.85212279932776,NOR
18,244.9119567977938,243.31747657142856,NOR
19,240.32181521471327,231.04154219667112,NOR
20,145.81785573672371,141.95265128761906,NOR
21,131.8136269317624,132.06594352510743,STR
22,169.7263437302806,173.24945668982065,STR
23,155.0862408649178,153.57327975083308,NOR
24,233.2430161922902,228.26086997622437,NOR
