Minisector,HUL,BEA,Fastest
0,284.2735578684249,291.1336594426272,BEA
1,151.7582158530572,147.34126403190723,HUL
2,229.94090172294372,227.3348239964322,HUL
3,281.1717559896627,280.0604650938525,HUL
4,312.02078350708075,311.4460142334199,HUL
5,294.78652619957796,302.14195573280705,BEA
6,149.59275688257497,153.72700117557454,BEA
7,242.29645372843538,254.20815954995615,BEA
8,111.18979430943261,111.02273353471429,HUL
9,185.2293036568915,177.76928519143144,HUL
10,277.7200253470847,281.35545649982873,BEA
11,301.93412020148145,305.0143693919628,BEA
12,205.42292624033462,211.61013463089935,BEA
13,182.18223747604685,172.55110547209634,HUL
14,282.7705266677469,280.8510743423457,HUL
15,313.11109277614906,312.995845415873,HUL
16,326.4885142653968,327.5460687512937,BEA
17,332.9764801850505,333.7099477084617,BEA
18,336.99851026219886,337.21831175026455,BEA
19,338.24375,339.58665453140094,BEA
20,182.3190383183865,184.0405377029687,BEA
21,185.2946462762022,181.14247980858943,HUL
22,283.3587653219992,285.5919141653683,BEA
23,312.48075441778633,315.1401975366289,BEA
24,322.1870816958797,324.2088256740136,BEA
