Minisector,PER,LEC,Fastest
0,277.55383101809457,273.04670895620797,PER
1,296.79318204675326,292.355043502514,PER
2,232.00846932204584,228.91036857964926,PER
3,128.23907338107662,127.4585492260505,PER
4,186.37350856906383,182.1022721314376,PER
5,118.26456936582092,119.61628147104089,LEC
6,214.16046634876847,210.08002164825396,PER
7,264.4948739937443,260.8272507688305,PER
8,175.69958699542101,174.61484642962964,PER
9,182.03058223399643,181.05377711338704,PER
10,266.97152693333334,263.06008536866807,PER
11,183.2438210705288,186.45084178681356,LEC
12,166.01662840877896,164.11080730629615,PER
13,259.54989710795485,254.81761973638095,PER
14,276.28260823188407,271.42016821766725,PER
15,289.99346295924886,286.35470804502165,PER
16,201.26720626236562,199.52580575018732,PER
17,198.8050090534627,189.34615501386068,PER
18,244.36048346373627,240.63752077367857,PER
19,285.86161592981716,281.30823036024844,PER
20,297.2760009489177,293.09265889523806,PER
21,204.0396124374947,207.22302477619047,LEC
22,146.37312024744895,144.42868375813953,PER
23,156.88745036250683,155.84145315192742,PER
24,227.4198381505754,223.80690892315002,PER
25,261.61250240000004,,PER
