Minisector,VET,LEC,Fastest
0,292.2644673185185,294.6144609882353,LEC
1,302.7927082666667,304.46672147004006,LEC
2,307.38562868025286,308.2348958,LEC
3,307.16911861960784,305.02333889816225,VET
4,180.43396263704392,175.961571567773,VET
5,216.86484958487267,215.42508047039115,VET
6,248.39611639727892,245.57199499319728,VET
7,272.4896330400687,270.17745204796415,VET
8,274.1178235259259,267.60668197248674,VET
9,164.77252772203036,168.2856085745579,LEC
10,233.61390582164503,237.31116162705453,LEC
11,138.22061004176186,139.20346688301458,LEC
12,222.34891117184267,225.0352019011338,LEC
13,194.46184639774623,195.36216070716065,LEC
14,220.14499363463202,220.65303558920584,LEC
15,254.27416656,254.45291712,LEC
16,266.6801958907518,264.2373916776199,VET
17,289.6486110222222,288.65658211316526,VET
18,133.64462734035087,131.54424226094503,VET
19,166.15169851770742,161.91845239938556,VET
20,148.01596611316526,151.4050272009235,LEC
21,168.79347182222222,166.63709875784375,VET
22,120.70187320369871,118.78078170702949,VET
23,231.5498807667186,230.7287049974026,VET
24,274.1346804130326,274.0911757803921,VET
