Minisector,PER,RUS,Fastest
0,310.0425797164815,311.2719200969697,RUS
1,212.83140991544033,201.77648632141526,PER
2,141.1192097777926,147.3931691040426,RUS
3,224.17770738956054,228.20292337692348,RUS
4,166.60353988422486,164.07233259898763,PER
5,175.20974540142046,176.33402995579291,RUS
6,254.81074475238097,251.85594229860712,PER
7,282.29617819364825,280.01530919570064,PER
8,291.2000834915555,287.5920824330829,PER
9,268.4078564198942,262.06877268548755,PER
10,242.52534868917175,243.43829946532634,RUS
11,233.8874089771731,241.5699721847619,RUS
12,199.20941909678498,204.25892580309005,RUS
13,121.9255544097277,130.21408023702355,RUS
14,130.09651921671255,140.56484861932972,RUS
15,170.48515655532415,173.99916912674448,RUS
16,249.47819770188042,251.1252670141302,RUS
17,235.68901823041364,242.2038364673016,RUS
18,114.05606013102592,114.60653255290035,RUS
19,197.81571454262243,194.658923531512,PER
20,201.09922135366043,202.57295136821463,RUS
21,235.5638843683744,237.4517485297778,RUS
22,266.577048021112,266.4306799510523,PER
23,286.80331990453783,284.84041602279876,PER
24,301.9470100078431,300.74925555585435,PER
25,306.4821430857143,306.0,PER
