Minisector,LEC,BOR,Fastest
0,308.7388528035277,299.5094079049624,LEC
1,198.05772668281205,200.70969383167062,BOR
2,220.9104981228369,219.59347437013332,LEC
3,270.82514922574313,267.66249743707766,LEC
4,227.71413292320324,245.2417250816,BOR
5,126.82289989923355,125.04066586455524,LEC
6,205.48594166320987,197.20911881877137,LEC
7,244.51526732674702,242.7411968910053,LEC
8,236.4872343658197,234.40985024298047,LEC
9,238.63525955572106,236.22361635361423,LEC
10,285.30293814688423,284.483340966621,LEC
11,308.52179876648864,308.59544438526797,BOR
12,319.36382260035276,318.70550472814193,LEC
13,316.671898688,314.11905098542115,LEC
14,304.90154987570503,303.3533613915966,LEC
15,249.22613424899902,258.84672859691295,BOR
16,232.7695461183516,237.91224782203136,BOR
17,272.35189624069113,276.91183679307363,BOR
18,279.0130622811429,286.3435832208694,BOR
19,156.71489010830152,151.05586079525483,LEC
20,196.74229901157676,191.96479250308235,LEC
21,169.15873733326646,178.68225820820828,BOR
22,136.61983639653735,132.47075027474094,LEC
23,228.87619030881157,230.62873859666627,BOR
24,291.551631863107,285.38925988975234,LEC
25,304.87000064,295.67916586666666,LEC
