Minisector,ALB,TSU,Fastest
0,307.81669226832895,305.99691068552187,ALB
1,228.61515390327057,207.17595158260872,ALB
2,138.85782641503107,142.546815382986,TSU
3,223.88308573930456,215.91555077753537,ALB
4,164.21981303285813,165.07129975311852,TSU
5,178.5194071274972,178.93969410036942,TSU
6,255.531044287121,254.50576796810861,ALB
7,282.71114074016987,280.91279685188215,ALB
8,289.4573936690196,288.9985416087273,ALB
9,261.23836314939683,262.66185291851855,TSU
10,246.5680699665797,246.62075856,TSU
11,243.19041083597884,237.78430999139331,ALB
12,204.64030765286006,200.2421692886949,ALB
13,125.80895202598678,124.11527718335839,ALB
14,138.74783485704782,140.56641020868264,TSU
15,170.34091728929673,173.92717101355626,TSU
16,254.63527515511996,250.69606253268466,ALB
17,251.7415125602241,246.13143444477862,ALB
18,112.25112617244247,110.81005591945578,ALB
19,198.38862836016997,196.06265488020065,ALB
20,196.20839927990556,203.48121222757763,TSU
21,239.3160200376099,238.68128470224312,ALB
22,276.71259473550464,265.38773712957294,ALB
23,298.4691144,286.1351275867388,ALB
24,315.2038459569231,299.36842518600315,ALB
25,321.1458325333333,303.6722218666667,ALB
