Minisector,BOT,NOR,Fastest
0,299.63077289689863,295.3487922300936,BOT
1,256.473633237357,246.40459096531387,BOT
2,206.43973042748584,202.09337726052453,BOT
3,268.2324823990324,267.3313360660908,BOT
4,232.91086275808013,226.36504591658456,BOT
5,120.13894721525126,117.92698320842887,BOT
6,186.4985680945533,179.97567039450004,BOT
7,260.3335592467559,257.5715712513464,BOT
8,288.8165651824973,287.34324056619624,BOT
9,302.7560567480626,301.1570182366542,BOT
10,305.71267345222697,304.11083992686724,BOT
11,226.9065046606665,225.52771981780313,BOT
12,146.40563560298574,144.07897533906615,BOT
13,255.967326752197,253.09946914265117,BOT
14,289.86559847005424,288.1201035100849,BOT
15,300.97179482557885,300.3368792898208,BOT
16,295.5488558327831,295.24564402424244,BOT
17,271.58183491742017,266.6885115297374,BOT
18,194.57285096621126,192.93882021184677,BOT
19,194.10825103340323,188.24953219269,BOT
20,191.01055244320315,181.47656481296912,BOT
21,252.4763853313687,246.32694580580622,BOT
22,129.62958706214403,127.48307926966955,BOT
23,197.96695056897644,196.2018256643463,BOT
24,276.4715993461131,276.4392192336116,BOT
25,,289.0041669333333,NOR
