Minisector,SAI,HAM,Fastest
0,290.17154087778204,290.02803108810457,SAI
1,163.51952479718167,161.72397885446438,SAI
2,167.83602060511885,172.91668245450023,HAM
3,250.5637775304983,253.99094713634688,HAM
4,283.43603818781213,282.97447919919193,SAI
5,241.7346360307046,251.22325979484884,HAM
6,216.8979886295619,226.51628059654323,HAM
7,152.9299165401383,152.49442697936607,SAI
8,230.3718862379203,227.6616124216889,SAI
9,278.9714433981582,277.54959257981494,SAI
10,296.0662266870321,296.26500636818713,HAM
11,305.06937975071907,302.8733872364827,SAI
12,310.1667834896435,305.74185465797825,SAI
13,308.9617857142857,307.57318374472936,SAI
14,131.2147999866019,134.21264774699293,HAM
15,123.15697499207933,123.94448683960108,HAM
16,105.14553618814855,104.64269341605424,SAI
17,235.64791229686858,235.6277784318536,SAI
18,284.6389439858209,285.6946441504974,HAM
19,305.2078424468949,303.923421870548,SAI
20,315.168385456,312.87022803640474,SAI
21,317.11281252,317.5365497263158,HAM
22,123.70617458305925,125.01136135422496,HAM
23,208.39732321265805,205.7958228143777,SAI
24,268.5417131826985,266.6783066451948,SAI
25,280.5,,SAI
