Minisector,RAI,BOT,Fastest
0,251.85190692763356,256.481769,BOT
1,284.73956911733137,296.40175939229124,BOT
2,174.1123178498277,171.2435415292517,RAI
3,163.47008506389201,165.85542297753884,BOT
4,259.6621216,259.51780020172953,RAI
5,275.33842229526715,273.17644744660123,RAI
6,233.553624544,234.186453888,BOT
7,207.0642310181695,207.5466828271054,BOT
8,164.95899654965987,158.5887989273403,RAI
9,220.74372692546757,217.03105591794872,RAI
10,271.24325424761906,273.82021364156503,BOT
11,133.67001242424033,125.4988537106659,RAI
12,216.64014606987436,220.1380301899599,BOT
13,278.35479057414966,278.55001499829916,BOT
14,299.17828951578946,301.21747205445655,BOT
15,305.53636911238095,310.86921070760326,BOT
16,242.6845228312381,219.7837808761905,RAI
17,130.09848273971312,129.42026371180123,RAI
18,127.39687796069963,133.0571788526295,BOT
19,118.80030932227494,118.4706892670067,RAI
20,227.16664952144532,232.946722176,BOT
21,253.7528987826087,257.6819147307866,BOT
22,236.8107231058349,227.7331732923077,RAI
23,217.08155182275016,203.97036847932432,RAI
24,137.0385676948276,138.38916153125936,BOT
