Minisector,HAM,OCO,Fastest
0,233.4211136098328,232.92873604463855,HAM
1,286.2251146842491,282.28750026666665,HAM
2,302.2924815688801,299.5212227982587,HAM
3,310.06509746147185,304.93124995555553,HAM
4,267.4001627548874,262.266780828196,HAM
5,168.11673289961513,164.80800516589147,HAM
6,262.04606341313126,261.7479775746201,HAM
7,275.41585719466667,282.52147442051285,OCO
8,213.30352548030731,205.3473235449375,HAM
9,223.3174250989899,218.06119585280317,HAM
10,181.61203330435453,179.49614528,HAM
11,225.2570519425089,225.10199669563278,HAM
12,202.352527931684,201.18518459259258,HAM
13,209.14623852290902,204.2849350448335,HAM
14,221.2287953809524,218.03666671935613,HAM
15,180.2114919751905,176.88267234285715,HAM
16,250.210844682136,245.7457190694253,HAM
17,291.10835740038095,287.51744543296707,HAM
18,306.00923923478257,301.4521739594203,HAM
19,282.5797818498042,287.8867511794872,OCO
20,130.04995705304665,126.51986700951633,HAM
21,156.90491907932588,153.50995854707512,HAM
22,151.89383887629916,148.63100331601674,HAM
23,199.48892672695592,196.15333636727593,HAM
24,145.58247404614593,146.4803800645294,OCO
