Minisector,ANT,SAI,Fastest
0,290.27443195967305,304.53290716625173,SAI
1,165.18404254627666,161.04771833242313,ANT
2,171.31991844000441,170.43479843140707,ANT
3,255.264927990325,248.71337541511377,ANT
4,287.5743527666612,285.00467642015184,ANT
5,252.7829704133609,234.38988395438017,ANT
6,224.0478802196788,220.51268955639793,ANT
7,152.7724371941061,151.16247215607345,ANT
8,233.973115642796,226.8108975708843,ANT
9,280.1627839806061,282.13157524492715,SAI
10,301.56203229678,307.87520694187714,SAI
11,312.55334161109437,324.6884564124157,SAI
12,318.16172443520924,336.4335239517147,SAI
13,314.85613867212277,328.1797088752811,SAI
14,125.30930925219728,119.69379170206919,ANT
15,120.68229769252497,117.695924732309,ANT
16,102.49490455672179,110.6948682476533,SAI
17,231.7502761199093,242.0795386273354,SAI
18,283.7915552735462,289.7127037781472,SAI
19,305.24366194567904,315.3765281740606,SAI
20,316.7975649240485,332.67370379595025,SAI
21,320.2432858406295,333.24412848,SAI
22,129.4181419841151,116.97920805500844,ANT
23,202.62680022332714,215.68890873152264,SAI
24,270.69359061244995,276.11896457306773,SAI
25,286.4812496,,ANT
