Minisector,HAM,HUL,Fastest
0,285.4506841192652,276.95138717680265,HAM
1,127.68344737515659,119.85767289015276,HAM
2,154.1106397463743,154.0312369454865,HAM
3,215.44130300289856,209.8567225913628,HAM
4,166.18402776769588,159.21917540680275,HAM
5,247.47799335233606,243.95810490049777,HAM
6,211.08803067906865,239.5585453014255,HUL
7,138.64870477688788,132.29533586455028,HAM
8,235.99290615632594,225.86319306666667,HAM
9,278.94791706666666,281.5038229325001,HUL
10,287.6997537882353,294.43545468571426,HUL
11,148.6151297402242,147.49873475191717,HAM
12,224.83000181333333,210.9351424927536,HAM
13,273.92879506436685,269.44659009021774,HAM
14,266.1500972783069,273.515743762963,HUL
15,100.31206810081885,99.42485426085358,HAM
16,220.47194611555557,207.42269521490684,HAM
17,272.16947307699434,263.8654171730878,HAM
18,294.06824330024534,297.68359294285716,HUL
19,303.62809541079366,314.86666624000003,HUL
20,306.8998616789775,324.3988092952381,HUL
21,280.4473856964058,299.06525693333333,HUL
22,154.78099421754303,149.02715127741936,HAM
23,235.58134927028277,226.55682568002828,HAM
24,277.4622556235294,281.24603066920633,HUL
25,289.7833344,293.6638890666667,HUL
