Minisector,ALO,NOR,Fastest
0,253.5076335395918,249.316409389914,ALO
1,121.72490130407127,117.45444652007038,ALO
2,257.3421286236125,256.90037259080714,ALO
3,303.60898271067845,298.2548972516256,ALO
4,302.61839894456654,297.451894932957,ALO
5,307.44791659259255,302.08203241342915,ALO
6,310.02517529757665,307.17584508124634,ALO
7,309.0062265965958,306.1452590557091,ALO
8,185.84617186997752,191.97572040676852,NOR
9,188.76778406120823,192.5688556395723,NOR
10,172.0624140104735,174.90871533429174,NOR
11,172.01270779223077,168.65187975432968,ALO
12,255.08292896355553,248.9934132303525,ALO
13,273.7235950813689,272.8264659664571,ALO
14,277.37380228295234,277.73988398965986,NOR
15,268.7237548523174,257.0879008017336,ALO
16,180.24929835397188,182.71663244105105,NOR
17,183.4153414374603,181.12939086482208,ALO
18,234.2436658935238,233.59210019443,ALO
19,285.4143850542945,281.05548608873727,ALO
20,307.52298270650857,302.3381629952,ALO
21,314.5715469818093,309.70198497037035,ALO
22,313.07003716285715,309.12799380881836,ALO
23,247.98645416654162,213.10551822544457,ALO
24,103.35168891393054,106.85011064996147,NOR
25,223.05249472,,ALO
