Minisector,LEC,TSU,Fastest
0,301.5524320950458,298.5376438151378,LEC
1,210.02574200060064,211.51208659944376,TSU
2,231.38814742439962,229.62388776644883,LEC
3,279.68816125709793,275.14723690314344,LEC
4,248.00143230454108,234.87677264218607,LEC
5,126.79428924150963,127.77557610813403,TSU
6,215.40027506349708,214.21533125592103,LEC
7,267.35519685514737,261.8105256707438,LEC
8,248.85899469793586,240.63211947130435,LEC
9,240.25089051165568,242.417743584255,TSU
10,279.3100173078852,277.3821199033553,LEC
11,296.0192848048073,295.2566402208139,LEC
12,311.9265208967145,304.55426113246756,LEC
13,323.2314943068501,307.69375,LEC
14,326.26055559111114,308.280886849227,LEC
15,270.9150268659377,253.40094075827867,LEC
16,247.5877940231511,242.00540993219047,LEC
17,287.864908051948,281.19687888946606,LEC
18,310.3886002734362,293.7090705245084,LEC
19,156.52853044018687,164.45701463282907,TSU
20,214.28322233843244,210.81649935463847,LEC
21,192.1186176618082,175.8041115967416,LEC
22,141.83327389342406,145.93863613748607,TSU
23,239.5022457385908,245.81390793131817,TSU
24,283.80764177577583,285.57885873142857,TSU
25,296.71666773333334,,LEC
