Minisector,RAI,HUL,Fastest
0,314.1597018120894,300.21835297492566,RAI
1,247.70992852347786,247.0135314387699,RAI
2,195.9421282703533,201.19254714643407,HUL
3,265.65325323060864,264.2379593179766,RAI
4,225.92725266759336,232.03995476127724,HUL
5,117.22731606205295,118.90340544123268,HUL
6,176.11739608787943,182.01760518935217,HUL
7,259.00993025871884,257.5250898069111,RAI
8,288.3727083256608,287.5262764727116,RAI
9,301.9668646960442,301.9303512718786,RAI
10,306.03901726765326,306.8365237009879,HUL
11,213.11024478826877,244.5988269825092,HUL
12,143.21904881057822,141.77208387538434,RAI
13,258.08780641056404,254.3444776423414,RAI
14,290.19931620301986,290.6973232570762,HUL
15,301.76629075911075,301.8381516868282,HUL
16,297.85756812335944,297.25158060979123,RAI
17,264.2818445588345,275.38476069051563,HUL
18,181.1978841385078,188.36164237926715,HUL
19,187.38688417073547,203.2377803041716,HUL
20,184.56493750732395,169.57982670582862,RAI
21,249.1046327169307,254.6921089347707,HUL
22,127.8248355454917,147.49980575213857,HUL
23,198.06050292141637,158.160261705036,RAI
24,275.8211197537769,275.8568177627547,HUL
25,289.8125024,304.72633230076315,HUL
