Minisector,GAS,SAI,Fastest
0,290.2564982412954,295.71231020071025,SAI
1,300.5311358138349,315.22516666666667,SAI
2,295.48003282337,318.80437789601274,SAI
3,190.2243417346263,180.69779226492622,GAS
4,209.33516506024026,205.8634208096587,GAS
5,203.07252321966226,199.77425872108836,GAS
6,263.61587202255646,262.5473232822531,GAS
7,258.53737653024154,265.0707640088889,SAI
8,211.26129785363287,213.80650979785167,SAI
9,211.65673651296456,221.78134711350108,SAI
10,144.63500823968468,139.14747641800557,GAS
11,205.21696743833107,200.38847808793645,GAS
12,187.32084694326716,185.5450153058564,GAS
13,253.07187452623322,252.78281894749924,GAS
14,181.45930433786535,180.41296533176472,GAS
15,231.39620934714557,229.52337646337662,GAS
16,279.4720244792381,278.2515305953954,GAS
17,285.41227277035347,290.7461850569697,SAI
18,275.8838807768819,288.0079678278363,SAI
19,265.46117455085715,273.91775404768975,SAI
20,259.57806099255413,268.723673809858,SAI
21,260.27808040550264,262.9057331495527,SAI
22,234.29392021117985,229.80934154202725,GAS
23,207.79136376377093,209.569069072987,SAI
24,267.8958971388904,269.5192986276576,SAI
25,,285.03333333333336,SAI
