Minisector,HAM,GAS,Fastest
0,275.2705498617914,279.0706286474424,GAS
1,300.64130116923076,301.11694449777775,GAS
2,313.91932588698415,312.10169110812916,HAM
3,322.85633924568606,319.46888888888884,HAM
4,327.6526985567006,324.15659340659346,HAM
5,323.71471031292515,326.4186109866667,GAS
6,199.19629560154465,188.52806240157707,HAM
7,108.15533606027451,103.10896114216449,HAM
8,189.15306465988672,189.4876899878788,GAS
9,259.9743066074074,267.52402032941177,GAS
10,287.6915706986775,296.2284329775442,GAS
11,164.456479480776,151.99581337757294,HAM
12,97.3557124103671,95.62146395420092,HAM
13,118.78968274435182,116.11583734937344,HAM
14,222.6537276234241,220.56493087960223,HAM
15,190.18173619957528,181.94193541259693,HAM
16,221.8701485714286,214.71047752373448,HAM
17,179.86771849738258,172.35116304162273,HAM
18,236.44363081904763,239.142531032381,GAS
19,278.8802326936934,281.99479253333334,GAS
20,241.28815859649126,238.40558783533083,HAM
21,144.36342722150482,140.61194237741378,HAM
22,100.6792310578748,94.03289772390225,HAM
23,127.54333302857142,120.06787133409738,HAM
24,228.55659236423375,233.18792694421768,GAS
25,259.28333226666666,,HAM
