Minisector,ALB,ANT,Fastest
0,324.7023598998467,323.21295493171715,ALB
1,332.81511911788357,332.867932793939,ANT
2,337.0171905391746,336.6802755833584,ALB
3,206.76002079932772,197.91623455456082,ALB
4,132.74774150312552,134.2350507404907,ANT
5,267.98600878517345,269.3589985502368,ANT
6,301.9853769343066,302.9237995661153,ANT
7,314.29627532121214,317.08018353499267,ANT
8,284.23335545439704,261.54390082336505,ALB
9,148.50584109221285,151.94075581401168,ANT
10,225.13984856503998,224.32729944130634,ALB
11,229.9559269837617,230.96727837622106,ANT
12,206.72895379490325,214.543810419343,ANT
13,273.02099950450986,274.9729260395257,ANT
14,306.86671739968784,307.95309049379813,ANT
15,316.300069073325,319.23206770962963,ANT
16,277.1376053295037,267.7783075917949,ALB
17,222.17075007264367,221.92929855855883,ALB
18,281.3759880925339,280.95307578022243,ALB
19,310.94181167141346,312.7652843104531,ANT
20,323.9057017035923,325.6284398286869,ANT
21,316.10023137122806,308.6218834346667,ALB
22,220.12009641858725,216.09186995053142,ALB
23,268.51357551826084,269.6100960928468,ANT
24,306.307559115099,305.5579053979138,ALB
25,316.26944426666665,,ALB
