Minisector,LEC,ALO,Fastest
0,292.52812501333335,314.7814487784206,ALO
1,292.9972147746238,321.64305534814815,ALO
2,293.43859649122805,319.5943123386244,ALO
3,230.16354663425957,232.5354461591084,ALO
4,227.6772427076923,232.69626212571427,ALO
5,113.28025362854167,113.33934586764761,ALO
6,215.05026536296296,212.0405645782364,LEC
7,267.7232888090107,265.55281746255355,LEC
8,250.63043311304347,239.455336192,LEC
9,115.14203134366748,114.92714588015973,LEC
10,233.02309585066666,232.73698413244932,LEC
11,252.53869329637183,256.4068844521739,ALO
12,137.04489660952382,135.1426853347696,LEC
13,209.60737511781858,211.68017897425045,ALO
14,268.22491522902493,270.31309455238096,ALO
15,229.07678054854534,229.02378994384028,LEC
16,155.52934753748445,158.34404656267697,ALO
17,241.62714877848936,242.26249910724638,ALO
18,125.92650629623648,126.88536836173218,ALO
19,144.18202181464707,143.04826837522847,LEC
20,192.10490779366998,183.06109508707212,LEC
21,260.22159122424245,257.7754861021645,LEC
22,273.9862206170003,275.6857140825397,ALO
23,279.6494049015873,282.5208330666667,ALO
24,285.92812506666667,293.1231247787728,ALO
25,288.0916661333333,298.0,ALO
