Minisector,RUS,HAM,Fastest
0,293.0363146577778,303.869166264254,HAM
1,182.7785170512221,162.7591296523126,RUS
2,177.6093071883824,174.68399874504814,RUS
3,254.40618434650213,255.62395529535857,HAM
4,284.39000699118924,284.59093428147406,HAM
5,244.81838810408806,255.51260528285454,HAM
6,229.50289136326532,224.25293326358386,RUS
7,159.27521939741678,153.3629886004808,RUS
8,224.12594705306043,227.79356121341004,HAM
9,277.29444321622157,281.88182087014366,HAM
10,300.2754666061327,305.0167172403683,HAM
11,309.85893294623224,322.38125105222247,HAM
12,313.95170949294857,333.9152867458724,HAM
13,310.7742843326984,328.9890413970927,HAM
14,129.27631042951953,124.65979436885885,RUS
15,120.24453821898395,114.04462127360078,RUS
16,101.0863192380507,105.83098269200879,HAM
17,230.89739143981137,239.04086929887447,HAM
18,283.15298736040097,286.5800166758413,HAM
19,303.4184799684177,312.268022017697,HAM
20,313.03878183683213,328.0777768814035,HAM
21,314.7536039893333,328.7110283621246,HAM
22,135.09760995259384,119.94405526179231,RUS
23,203.984992840946,211.3873046305185,HAM
24,269.6440242982313,275.1223718258325,HAM
