Minisector,HUL,PER,Fastest
0,250.16516877366743,249.08804757505538,HUL
1,283.17166682666664,286.4496881777778,PER
2,164.33270789526512,173.63032283697478,PER
3,166.27378647009428,161.2510479869633,HUL
4,253.936418008658,257.3222449487528,PER
5,265.40978188535564,272.585161005759,PER
6,226.7709622645722,227.21671256263738,PER
7,200.25952724648485,201.3357046402171,PER
8,161.34220816065425,156.31079710575534,HUL
9,226.10736182748815,219.74437828500675,HUL
10,268.91176314920637,272.8128571733333,PER
11,127.24012777799298,132.2460776546584,PER
12,215.74411219613242,212.50577016246893,HUL
13,276.4906928554112,277.02510821125543,PER
14,295.51562512,298.59729193904764,PER
15,301.9255314118689,308.46129962590425,PER
16,227.71083277296472,233.2774789751275,PER
17,129.77678287565058,129.2213337532635,HUL
18,131.80945235934206,131.48194992788495,HUL
19,120.01694562643344,117.129510151766,HUL
20,221.07993864691358,222.60061795555555,PER
21,252.4735902763268,251.87182277143623,HUL
22,225.5688265876543,222.0518503111111,HUL
23,215.8010628022496,202.4570703258904,HUL
24,136.52413566958845,134.82492328766344,HUL
25,216.24875948219207,,HUL
