Minisector,LEC,HUL,Fastest
0,252.1915607127006,254.53630235667583,HUL
1,223.14300846522283,209.12735745952702,LEC
2,205.85257287390598,204.22479793323024,LEC
3,259.71228558130366,260.42943606530616,HUL
4,275.52915802769627,269.09713084803593,LEC
5,288.8875160418104,292.263639729432,HUL
6,166.77250925963483,158.60227254478403,LEC
7,182.95737493084158,179.8899258877787,LEC
8,268.45979086012807,270.9505794387145,HUL
9,295.2109163503651,306.2882719492064,HUL
10,306.74138901333333,324.1620067152811,HUL
11,307.2426286298272,326.6347294345999,HUL
12,110.67169867022274,116.55330510861909,HUL
13,189.4166307267625,184.39552720661374,LEC
14,266.86867738487564,268.5877609778327,HUL
15,293.3693158157761,295.2068995658294,HUL
16,298.20980022088094,305.2213033878479,HUL
17,194.20587834312963,188.63016521205083,LEC
18,218.6293906675413,218.55383554729875,LEC
19,268.224538182861,267.5314209206634,LEC
20,156.33472510206363,157.37717684669073,HUL
21,149.5756103638662,147.6242595107491,LEC
22,217.88976959619288,218.39207426949503,HUL
23,240.09740788914198,251.65937959554975,HUL
24,161.14992080781548,155.82820372607185,LEC
25,225.28571062857142,220.7989784529108,LEC
