Minisector,HAM,GAS,Fastest
0,277.7762532628048,293.3296253631862,GAS
1,296.1348467898763,315.81542425767407,GAS
2,291.3437072663953,304.0803644062338,GAS
3,179.06655783297967,176.4275828362056,HAM
4,216.8692811647226,211.5541738722033,HAM
5,201.3732195030204,195.98405565622323,HAM
6,182.71961784407162,171.45710993054308,HAM
7,201.26196694167012,198.46563091559378,HAM
8,254.47407585525036,251.57295169145166,HAM
9,262.70757712459516,254.910201666023,HAM
10,167.3267278392579,165.357422216895,HAM
11,233.05582779249593,230.0766936483528,HAM
12,106.69061455547701,114.21666243432614,GAS
13,219.97107384376957,219.4944282179571,HAM
14,274.0201712864706,275.16965975983436,GAS
15,289.09513762375957,285.7009092654546,HAM
16,209.3890751068907,204.78093336304522,HAM
17,182.27511186077726,179.73260135394113,HAM
18,262.5144729631585,265.1303397574051,GAS
19,289.2424387724387,289.3375653117924,GAS
20,299.8074736492764,300.2977712568405,GAS
21,300.67836155026527,302.1551700854422,GAS
22,264.33040601904764,275.1355175520922,GAS
23,116.2368019417365,111.88091918933934,HAM
24,236.43841462086712,232.18679294215752,HAM
25,,266.6937498666667,GAS
