Minisector,RIC,GAS,Fastest
0,303.2053769208089,293.61216931216927,RIC
1,230.4373777882353,235.8629892392157,GAS
2,131.38634314799745,132.65431335672514,GAS
3,235.56065725001514,240.46600787142856,GAS
4,189.56541629333333,194.43385424000002,GAS
5,237.98116285860056,243.45101991485828,GAS
6,221.95674388377088,231.4369920717087,GAS
7,254.11570751440178,252.31182576253968,RIC
8,283.8197188544788,281.9324870853184,RIC
9,203.93980289122806,210.63508679298246,GAS
10,199.96023838064372,206.6789327685043,GAS
11,270.59464274285716,266.6093113469388,RIC
12,206.44396840370763,212.38337154253333,GAS
13,249.62986298952154,248.44220462795698,RIC
14,293.05215183579327,285.8072967708656,RIC
15,306.37849996799997,296.8684294974359,RIC
16,303.5002627413109,292.1500844794651,RIC
17,227.19351733456583,238.9544159705069,GAS
18,270.6109218525731,266.72471085210543,RIC
19,299.66639185934065,292.2665064615384,RIC
20,303.24483327999997,296.71084692038687,RIC
21,297.0760802765432,288.45817896296296,RIC
22,150.17056122102207,155.37330328273345,GAS
23,235.94540267153428,231.94188423146576,RIC
24,290.23355367997465,284.32857161904764,RIC
25,,294.3833322666667,GAS
