Minisector,HAM,ALB,Fastest
0,277.84665877413977,274.54157443500543,HAM
1,225.59900295314284,224.73142248253967,HAM
2,115.07980673564401,113.81660531097151,HAM
3,194.39284408950792,195.04874457245853,ALB
4,172.7526880344086,176.73219806190477,ALB
5,224.23582193112756,222.06060606060603,HAM
6,287.44931352804235,271.7523812010025,HAM
7,308.3663688804233,287.57747495137846,HAM
8,180.96567537269843,175.34709826190476,HAM
9,125.9838031769247,126.66145373116254,ALB
10,136.52811280853484,134.57151787048562,HAM
11,199.8250910945055,200.28914845421244,ALB
12,209.89194765294857,212.3000489781049,ALB
13,131.08546742113822,130.82509665547386,HAM
14,142.42114861898636,148.07864567854725,ALB
15,132.01866733339418,130.92293927847257,HAM
16,264.29843962134635,251.5471654893424,HAM
17,135.26200040686678,137.6781339983017,ALB
18,201.81921629050717,205.76311802469135,ALB
19,132.3731145043436,130.81777448883417,HAM
20,145.70750644782584,150.56690474500633,ALB
21,128.50145636311748,127.0096836952498,HAM
22,151.48879398284691,155.34756684817927,ALB
23,222.51709396746614,218.94228301552195,HAM
24,242.58858731594205,237.6446428952381,HAM
