Minisector,BEA,LAW,Fastest
0,324.3512756825397,314.86271990891356,BEA
1,225.875805985974,216.87211483078238,BEA
2,130.0266966138273,128.19964133169324,BEA
3,216.70515164223605,213.1982028158373,BEA
4,261.1423311632567,261.8467103515844,LAW
5,288.6562663335845,290.5954955962437,LAW
6,304.52343175887955,308.62918256747696,LAW
7,268.4690041596761,283.69659987606445,LAW
8,174.08035633085197,172.038437818658,BEA
9,242.1722357664413,241.59974266006347,BEA
10,273.90042713766235,271.36753483652546,BEA
11,269.0597646608354,257.35020338147183,BEA
12,203.22678340902692,199.4364780418612,BEA
13,120.94504767352304,122.5852075127526,LAW
14,121.58902564955211,123.81311303960516,LAW
15,163.35725282907498,152.66033561943487,BEA
16,122.00247756188914,129.50713817377058,LAW
17,230.3563834115389,220.7742368457059,BEA
18,178.8466630247619,165.69278032462447,BEA
19,159.36430274553044,167.41432929756664,LAW
20,244.84204884723246,245.99740634854066,LAW
21,275.83330992887335,274.1483579261104,BEA
22,295.13450609333336,295.74201092131165,LAW
23,313.5616426109904,315.01431447215685,LAW
24,323.8158097188571,327.6619205710204,LAW
