Minisector,ALO,TSU,Fastest
0,272.97746389932155,275.7223897229659,TSU
1,294.6012152,295.268333312,TSU
2,293.4722822971362,291.81243750621115,ALO
3,176.03832429931973,180.50117688761904,TSU
4,119.12188712474477,118.49624290303089,ALO
5,233.43083249777777,235.3033756078241,TSU
6,276.53767063812495,279.26242082257977,TSU
7,282.1907414123457,290.26162214579716,TSU
8,176.16322379103084,185.40796339846042,TSU
9,140.00356511378754,142.34891060430672,TSU
10,249.88419464827587,250.6158632688151,TSU
11,285.9491524398421,288.0888146120387,TSU
12,295.0996669013333,295.18482156190476,TSU
13,277.6698717948718,277.51388890864195,ALO
14,294.30268135238947,293.3192190118138,ALO
15,293.6102386895238,296.18452401980954,TSU
16,251.11910842006017,252.691819100363,TSU
17,221.9676144095238,222.18467736802012,TSU
18,273.59143383351727,273.60696636613756,TSU
19,293.1281665706667,294.91398227064667,TSU
20,291.7405958952523,294.9350647279012,TSU
21,228.55954293809523,232.77538138257714,TSU
22,253.05306329144207,254.40076942031482,TSU
23,137.65510794016566,140.19684960104865,TSU
24,209.55304279074832,212.8390032612924,TSU
25,255.33750080000002,257.0375008,TSU
