Minisector,RUS,STR,Fastest
0,253.81531598006566,250.34847826497355,RUS
1,214.63586353926655,206.1336555097345,RUS
2,207.01762549341964,209.71968672435375,STR
3,255.58793473855073,261.9302412303345,STR
4,268.9101728272965,273.4385912152381,STR
5,289.3031996160983,289.3985911032381,STR
6,162.58742055088786,152.8122999876886,RUS
7,185.67435141885056,187.3979643001371,STR
8,266.86303631454706,266.7206521261008,RUS
9,293.61215719896103,291.85509714954014,RUS
10,303.59301588825394,301.9755471198186,RUS
11,306.1841921942857,297.08857664761905,RUS
12,115.57044055419857,112.16821195301365,RUS
13,194.63830932597702,193.2017107876663,RUS
14,272.038943910559,268.79720987826084,RUS
15,295.3753288701754,292.2297295649535,RUS
16,301.8088645650872,292.70075137539607,RUS
17,186.75640531349862,181.31955882779567,RUS
18,217.7801582556539,220.70269537306123,STR
19,269.5522232984127,256.99724499612347,RUS
20,145.31007878104106,146.54288766416943,STR
21,142.25719694999356,150.00052711513027,STR
22,217.41227807390476,223.8760667116663,STR
23,226.18968083262456,212.93303445890112,RUS
24,156.74772667067884,164.1589284997038,STR
25,226.62953098526467,,RUS
