Minisector,ALO,VET,Fastest
0,251.86989586666667,248.110305069899,ALO
1,130.7751080082032,119.78940311452826,ALO
2,195.91033223426672,201.9079199703704,VET
3,241.86728507844157,247.76632205071414,VET
4,250.26217813333335,248.00692417641025,ALO
5,174.3078043007781,166.3582233153016,ALO
6,146.10403215472527,133.04714935124227,ALO
7,184.53891323996567,175.84100090133333,ALO
8,99.06596476513708,98.25372272874233,ALO
9,75.6299468905977,70.74456481331248,ALO
10,95.12160963598473,99.52541797748567,VET
11,185.81740199639307,195.11421318698243,VET
12,240.21648462666667,248.49275156994707,VET
13,262.3539408511027,271.24230147468313,VET
14,268.45751388571426,262.75618362319875,ALO
15,107.52701295254407,106.36111823432093,ALO
16,160.12850842004653,162.0359192745393,VET
17,185.80246340787622,173.807448757191,ALO
18,202.16509029378153,194.41388870334083,ALO
19,208.1843350970019,194.54781271703703,ALO
20,137.86156108575275,128.2246458466847,ALO
21,107.22274485371224,100.90266999037071,ALO
22,102.37310988922037,101.70907575007217,ALO
23,206.86425385915106,208.8034157165083,VET
24,246.0217875474573,257.26620540579154,VET
