Minisector,NOR,VET,Fastest
0,269.0052538474163,271.29185804559313,VET
1,290.34576362666667,297.6771527777778,VET
2,296.568245252845,309.40089299809523,VET
3,124.89338688779196,121.71217646728122,NOR
4,191.33842751598092,200.03325615374763,VET
5,252.2104095190807,253.48349510138982,VET
6,134.981847836193,131.09850294029272,NOR
7,194.75631115200002,201.00524594909092,VET
8,254.4230847315825,256.0045856916763,VET
9,274.19721146907494,276.0338062746599,VET
10,229.47091558956524,226.42255841396826,NOR
11,184.47770400881618,175.11253719521505,NOR
12,184.68774931820604,191.53195214682464,VET
13,142.84651567596194,133.3908688166367,NOR
14,161.40881826402625,166.7255243707427,VET
15,150.92568586672928,151.06827247777778,VET
16,206.67321208357404,215.0148595116406,VET
17,230.25028933355523,222.3126988,NOR
18,229.33082578498468,231.1789255120988,VET
19,253.1811074673716,223.28192745101418,NOR
20,140.97746965186903,140.89434202023278,NOR
21,133.3381592687643,133.34053274474536,VET
22,160.44644385086758,168.26484116670593,VET
23,148.1460941585166,144.80942522259102,NOR
24,217.883478890952,223.35215654647345,VET
25,246.52307593846155,,NOR
