Minisector,RUS,HAM,Fastest
0,280.805429782374,285.77155813075166,HAM
1,299.0416349046349,312.6885666682572,HAM
2,224.26101247633557,222.7061818509825,RUS
3,108.35117215713412,105.50370076283933,RUS
4,126.18606158433312,126.33115380558229,HAM
5,246.352872415735,252.15920734222223,HAM
6,255.28889900724582,242.71311756874613,RUS
7,117.85726652152728,114.54082718797865,RUS
8,241.99341818181819,249.9196814929537,HAM
9,258.07388026470704,250.77195061938698,RUS
10,200.51996706666665,204.59706935496442,HAM
11,138.27538060257294,129.09470323550758,RUS
12,197.70776074891765,195.9869361970477,RUS
13,261.27192057809265,255.1236931552656,RUS
14,106.76583912752423,107.99083920645198,HAM
15,180.64849723345264,184.08824306191872,HAM
16,252.88783290403572,253.49593393114924,HAM
17,289.4677573291402,289.9600845823129,HAM
18,306.9525832933333,306.0513773886958,RUS
19,321.64702751578466,322.04071539835684,HAM
20,329.62451841069736,330.25435859064936,HAM
21,151.8394101997926,148.94841140712373,RUS
22,135.44647509808323,145.17209854317332,HAM
23,183.43803776756596,182.4866719601361,RUS
24,233.90960672,232.04220799015638,RUS
