Minisector,HAM,STR,Fastest
0,274.26428537142857,272.79639078717065,HAM
1,289.3131316553989,289.8743735017544,STR
2,295.06870330225564,294.32587795087716,HAM
3,135.33060567204262,126.7246879331186,HAM
4,212.3399166991004,207.2014762553792,HAM
5,259.3373020952381,258.7370720077563,HAM
6,154.0298524540558,144.35855789778455,HAM
7,218.16564113118943,214.53731077159614,HAM
8,263.2765344229012,263.76919622857145,STR
9,281.3319077754386,281.10407255739347,HAM
10,251.7219587792175,251.59120436464315,HAM
11,188.09984170740572,185.96152869079367,HAM
12,211.8683319917136,199.14535203076923,HAM
13,152.34909780180178,143.01228321629506,HAM
14,192.6537521584918,188.32982231111112,HAM
15,181.5396805727999,167.49045745,HAM
16,229.6961375082413,228.60091754920634,HAM
17,247.69438174290173,236.63806866147186,HAM
18,251.4609688743764,242.95011118785115,HAM
19,244.18966520335033,230.41553207272727,HAM
20,152.0396108549894,148.957991149857,HAM
21,135.5043630709339,134.5486366461661,HAM
22,186.26315665806973,179.45965988087968,HAM
23,163.5737347931016,154.88483707136464,HAM
24,233.39195472171625,236.73779729177488,STR
25,259.6124992,,HAM
