Minisector,SAI,BOT,Fastest
0,287.68332745295237,286.99722960380956,SAI
1,164.10221203665273,148.21191287496853,SAI
2,176.99879565575594,166.2261102419853,SAI
3,253.50535279490413,244.98149179193678,SAI
4,281.8154985606096,279.5763065837968,SAI
5,247.25888754867722,230.33979867581692,SAI
6,227.01457553782404,204.44464442549634,SAI
7,155.84563878098334,152.9392574358155,SAI
8,233.47304221787886,231.74779037338843,SAI
9,280.50859950217824,280.0911441201296,SAI
10,297.5777231494737,296.94980676184446,SAI
11,305.4610937066667,305.67756581894736,BOT
12,309.8759905311943,310.2135507998508,BOT
13,308.08779382974797,305.0557902455105,SAI
14,132.01654120345805,128.87115297328964,SAI
15,119.58534089762853,121.76723185207065,BOT
16,97.6234500858492,94.42244975909756,SAI
17,234.38973711445888,231.3069439843296,SAI
18,284.83169377121897,281.41292520843893,SAI
19,302.7515185802554,301.60381825326954,SAI
20,312.1134137236424,311.14906925007807,SAI
21,316.15473258382156,315.20115081650795,SAI
22,116.89056903823256,131.40658217176568,BOT
23,201.53788571146384,191.40405483588285,SAI
24,265.19743611791796,264.0327036238743,SAI
25,281.4,279.63499904,SAI
