Minisector,BOT,HUL,Fastest
0,284.78601239520214,278.7142856337373,BOT
1,258.74786816609424,248.60714914368242,BOT
2,275.2531876560854,267.0932510201504,BOT
3,280.15973419104336,275.39798642878753,BOT
4,135.25822159333632,134.07795160465983,BOT
5,210.95315632284513,209.6928992874807,BOT
6,266.2159702921674,261.95510824531976,BOT
7,287.8552565937721,281.28306876046133,BOT
8,296.92896188047285,288.76576112569575,BOT
9,300.99509020061737,292.1076388740741,BOT
10,277.8411443294487,268.3166143979986,BOT
11,100.49598661898544,102.27637210218136,HUL
12,223.8300730935058,225.844755405663,HUL
13,273.63940308247396,270.2689329696819,BOT
14,273.84120258510586,258.7281424855764,BOT
15,135.35550602603155,130.72707607763644,BOT
16,215.35019891241546,204.78707781101483,BOT
17,263.0778864558997,256.4692598934279,BOT
18,259.3857403541403,240.0976143323333,BOT
19,250.55233379218598,240.5697049770062,BOT
20,152.48152445414914,144.3282479247603,BOT
21,191.99278572647378,195.55147530060987,HUL
22,188.1456455061967,173.01599368036736,BOT
23,201.8916632446017,189.0752931852986,BOT
24,257.60554044628424,250.8513354174986,BOT
