Minisector,PER,VET,Fastest
0,272.16577379047624,269.7848008054106,PER
1,249.0766076815423,252.71809686888014,VET
2,114.55284815773211,109.10225830897627,PER
3,170.83115102862365,165.00729601881497,PER
4,183.0159123061074,174.89345742636283,PER
5,212.97462854461529,212.25738670441132,PER
6,269.2895010552281,270.1659402192306,VET
7,286.5388095238095,284.8556786327273,PER
8,202.03090955199283,182.04891463721268,PER
9,131.78019449103044,119.81972652537952,PER
10,126.83557233671195,125.41358633809388,PER
11,178.96912227509378,176.45709678639636,PER
12,230.39400851339332,206.47102729889372,PER
13,130.2940756926425,127.26340642934608,PER
14,152.60829391765083,149.95702969553756,PER
15,114.03084531437449,117.71058768587095,VET
16,242.00183151799783,243.5895796189824,VET
17,150.29706780241045,140.46588304441102,PER
18,188.63354438117446,176.92657437087243,PER
19,126.5587344481744,114.60133703092099,PER
20,119.70918160819639,122.76134588207508,VET
21,120.16203431658876,118.87066194168379,PER
22,135.7171240664836,142.42833403466665,VET
23,217.33048562398875,216.60062922202275,PER
24,234.25151454528444,230.9568422192208,PER
