Minisector,VET,STR,Fastest
0,288.9560128389312,295.861131734166,STR
1,195.31111041645403,196.46554504987066,STR
2,226.29759110575327,225.83730021514904,VET
3,270.5656829678134,269.34734850909086,VET
4,239.26593070292478,228.51535585467383,VET
5,128.04067947484833,126.4416885147589,VET
6,212.72134436153647,211.8750669997816,VET
7,257.1820789377453,256.1416040432501,VET
8,200.8530144789835,204.53475349245252,STR
9,205.5072982927861,209.01153956589573,STR
10,262.09777634888826,262.61899739905755,STR
11,208.28335376976048,206.7037515918376,VET
12,177.57257180786962,177.9703499213865,STR
13,258.01124815920684,260.86032366754824,STR
14,280.3606951673824,281.1016058115869,STR
15,256.41401444848486,256.5141928296034,STR
16,236.81150490728706,242.41712191585464,STR
17,272.0672619459619,274.15013117070043,STR
18,285.47918932048896,280.079107047619,VET
19,176.7846103567655,171.672522506885,VET
20,207.9322329052956,211.79098558869717,STR
21,170.01089923896782,165.10435709459523,VET
22,140.8678400438401,148.40273873053906,STR
23,238.16765482533688,240.21190358492754,STR
24,276.67542165669676,281.4867917500472,STR
