Minisector,RIC,VET,Fastest
0,285.25318891462666,279.70946879927953,RIC
1,302.7413189483242,296.9842714388993,RIC
2,297.1689093665563,296.4040194598194,RIC
3,167.3426060977321,169.3979396183074,VET
4,124.27367821343432,124.61790108152428,VET
5,242.0071955038197,242.86187798059726,VET
6,295.7953931140766,282.8295671794872,RIC
7,305.6960177030747,293.2872867903224,RIC
8,176.67837916983368,180.59932466714903,VET
9,145.81688568452032,145.09507358187278,RIC
10,258.75343135317934,256.77741743352897,RIC
11,298.2254799253761,292.2536769209453,RIC
12,308.7541305918647,299.53483319306184,RIC
13,276.8218155664589,278.1737446760698,VET
14,301.84543685714283,295.60229424148605,RIC
15,303.56798330723143,295.90133346133337,RIC
16,249.381300545156,252.87726802938883,VET
17,223.53154990329452,224.16316956364602,VET
18,287.4390006186666,277.135774772298,RIC
19,318.9131007523051,297.6771494823519,RIC
20,332.96550283636367,301.4156262838136,RIC
21,221.00434067648033,228.90897491918247,VET
22,258.33024746666666,262.1532915040251,VET
23,144.62155847051406,136.96029416336503,RIC
24,225.78099626114752,224.23220515526822,RIC
25,265.44166613333334,,RIC
