Minisector,PIA,SAI,Fastest
0,282.296441105581,281.6101261970927,PIA
1,298.02225464339267,293.8249737772257,PIA
2,236.75453922203857,236.39467763153053,PIA
3,119.44300951041421,112.23068795537795,PIA
4,132.45805626638557,132.14456888759935,PIA
5,254.9199146955225,251.0287760886857,PIA
6,264.7268761066667,246.70099462768576,PIA
7,121.58218720065825,128.4129224066721,SAI
8,244.88698290715445,247.68574468760332,SAI
9,258.7615845613766,263.7130422750853,SAI
10,218.227270784015,204.0359038899471,PIA
11,140.36130188093017,138.12857903768474,PIA
12,203.45205855256427,208.85997475487727,SAI
13,266.76223325990003,257.3519603657143,PIA
14,117.14021628639948,117.5319804185034,SAI
15,192.95760804503269,198.53009060218778,SAI
16,260.75992379848174,263.4502678199034,SAI
17,290.287520827232,290.62334112614235,SAI
18,302.61809018962964,303.57345295285955,SAI
19,310.19804749321787,309.6341050469136,PIA
20,313.61251321227513,308.9834459964849,PIA
21,152.46468154116062,162.50177994556574,SAI
22,163.7626058650719,155.91888110131305,PIA
23,207.33322824070234,206.3357511671993,PIA
24,238.27661096921153,238.61559665066667,SAI
