Minisector,BOT,LEC,Fastest
0,291.04073335271374,281.37376995473545,BOT
1,312.6776295564946,297.04058460383453,BOT
2,246.92995612201287,240.6951763883248,BOT
3,120.9492373519037,119.20917846006479,BOT
4,141.97643268275573,145.6530679963251,LEC
5,253.28333040638162,255.773191670351,LEC
6,247.991488049474,258.0596707438779,LEC
7,131.8316258557781,129.291495097826,BOT
8,250.5979668408264,252.24448288306294,LEC
9,265.0909189877556,266.09307051178615,LEC
10,210.845919340293,214.92900187995198,LEC
11,148.5680477163646,152.9692751390199,LEC
12,223.0503266839953,220.43349186167762,BOT
13,257.46620922272496,267.33140041000155,LEC
14,117.78948675847033,119.42887342401599,LEC
15,208.34033594507272,206.02236564584763,BOT
16,264.12450176598264,261.7595844026045,BOT
17,292.5170491418456,288.7096555210662,BOT
18,307.70004137062034,297.88570439622333,BOT
19,321.7264809161082,301.76916672000004,BOT
20,330.54048910173356,304.5217105403509,BOT
21,157.51327854849427,152.21726939273813,BOT
22,153.6829997155364,162.98620391728144,LEC
23,183.75862599247807,194.85803132644875,LEC
24,238.52608830591683,243.52611457706254,LEC
25,275.5208373333333,,BOT
