Minisector,RUS,LEC,Fastest
0,300.5682144454581,299.6785267502607,RUS
1,189.33378183889255,192.08258327833116,LEC
2,219.79446824998433,214.8793937566701,RUS
3,276.6176866676223,272.42041369811,RUS
4,228.99886166003702,240.9871464393651,LEC
5,124.37511196437053,123.9921341288144,RUS
6,203.87883494945254,200.16186098688328,RUS
7,239.08772608857188,246.2657702323946,LEC
8,236.26056991619896,229.80190933971548,RUS
9,226.46116696543885,227.27443543092429,LEC
10,273.2150347796582,275.408369801564,LEC
11,289.73115356286996,293.57779263147,LEC
12,296.4746942399718,299.20834005719325,LEC
13,298.92778810372727,302.10673412525256,LEC
14,297.73357142857145,303.73689756305913,LEC
15,227.56901305677488,241.98971392666436,LEC
16,226.90821337740826,220.8168320058506,RUS
17,270.9428997579742,267.4752093855557,RUS
18,285.48652090637495,289.2798393633539,LEC
19,139.6030917788288,134.55494578482117,RUS
20,195.4431641573585,188.97108830162912,RUS
21,184.10726748435414,156.2859268266322,RUS
22,134.72808346515114,133.13016223793494,RUS
23,236.83597061142112,241.12758616597955,LEC
24,282.63795683221883,293.6588810553757,LEC
25,297.1194974021604,310.8285714285714,LEC
